Nom;Messages;Date_de_publication;Sentiment;Urgence;Probleme;mot-critique;incomfort;type;Deception;Satisfaction;Frustration
Kermit;@ENGIEpartFR 3 Fois que je répète toutes mes informations pour faire UNE FICHE CLIENT et c'est si compliqué que ca ? \nLORDINATEUR NE MARCHE PAS ?????? C'est quoi ??? Une entreprise des années 40 ?????;2024-03-04 09:09:00+00:00;Négatif;True;['Répétition des informations', 'Problème informatique'];['3 fois', 'compliqué', 'ne marche pas', 'années 40'];80;Problème de Service client;85;0;95
Sam Venère;@ENGIEpartFR  vous répondez quand au téléphone ? plus de 20 m’ que j attends en ligne;2024-03-04 09:42:43+00:00;Négatif;True;"[""Temps d'attente téléphonique trop long""]";['répondez', '20 minutes', 'attends'];80;Service client;70;0;90
Cédric Ft;@ENGIEpartFR pourquoi sur mon espace client, mon ancienne adresse de domicile est toujours mentionnée comme lieu de consommation, malgré avoir fait la procédure de changement d'adresse sur l'application ? Combien de temps ça prend pour faire le changement ?;2024-03-04 16:33:29+00:00;Négatif;False;"['adresse non mise à jour', ""délai de changement d'adresse""]";"['ancienne adresse', ""changement d'adresse"", 'délai']";60;Problème Technique;60;10;70
Artavus;@ENGIEgroup @ENGIEpartFR vous pouvez me rappeler le prix du Kwh ?\nJ'ai dû louper un truc https://t.co/tWW2pEOfcI;2024-03-05 10:43:55+00:00;Neutre;False;[];[];10;Information;10;0;10
HyunSaeng;Donc @ENGIEpartFR qui m'envoie un nouvel échéancier avec la revalorisation des prix et donc qui passe de 48€ à 75€ par mois... Le plus que je consomme dans l'année c'est en décembre et janvier, la je dépasse les 55€ mais sinon je suis en dessous des 50€ voir même 40€...;2024-03-05 21:52:30+00:00;Négatif;False;['Augmentation des prix', 'Incohérence dans la facturation'];['revalorisation des prix', 'dépasse', 'augmentation'];80;Facturation;70;0;90
ENGIE Particuliers;✅❌ Vrai ou Faux ?\n\nIl est préférable d’utiliser le gros électroménager, tel que le lave-linge ou le lave-vaisselle, en heure creuse 🤔\n\nLa réponse dans quelques jours sur @ENGIEpartFR ! 😉;2024-03-06 09:02:30+00:00;Neutre;False;[];[];0;Information;0;50;0
Ma;@ENGIEpartFR est-ce normal que le prix de ma consommation du mois de Février était de 45euro il y’a 2 jours et aujourd’hui 77 euros ?! Comme par magie ? Je paye un Kwh à 0,44 cts d’euros alors que mon contrat de base est de 0,22cts kwH.;2024-03-06 20:58:12+00:00;Négatif;True;['augmentation inexpliquée du prix', 'écart entre le prix facturé et le prix du contrat'];['normal', 'magie', 'augmentation', 'écart'];80;facturation;85;0;90
Gaelle Hamon;@ENGIEpartFR Nous on a consommé moins que l'année dernière. On a payé plus de 100€ en plus sur la facture. Pour la même période. Ça va bien pour vous ? Il va où le pognon ?;2024-03-07 13:42:55+00:00;Négatif;False;['Surfacturation', 'Augmentation injustifiée des coûts'];['payé plus', 'pognon'];80;Facturation;85;0;90
tOji-GeEk;@ENGIEpartSAV Bonjour je viens de consulter ma consommation sur l’application mais je pense qu’il y a un problème. Pourriez vous me contacter svp? Merci;2024-03-08 07:22:08+00:00;Négatif;True;['problème de consommation'];['problème'];50;Problème Technique;50;10;60
H W;@ENGIEpartSAV il faut combien de temps à votre agence de Grand Marseille pour rappeler ses clients? Plus d’un mois que j’attends malgré plusieurs appels à vos conseillers. Le montant de la facture a bien été débité sous 24h pourtant 🧐;2024-03-08 08:23:27+00:00;Négatif;True;"[""Temps d'attente trop long pour rappel"", 'Facturation rapide mais Service client lent']";['plus d’un mois', 'plusieurs appels', 'débité sous 24h'];80;Service client;85;5;90
Cédric Ft;@ENGIEpartSAV suite a un recent déménagement, mon contrat électrique fourni bien la bonne adresse du nouveau domicile, mais sur mon espace client ça affiche toujours l'ancienne adresse.  Pourriez-vous régler le problème ? ?;2024-03-08 10:18:59+00:00;Négatif;False;"[""Adresse non mise à jour sur l'espace client""]";['déménagement', 'adresse', 'problème'];50;Mise à jour d'information;40;10;60
Diamant;@ENGIEpartFR , cela fait 6 mois que j'ai déménagé de chez mon ex et que j'ai demandé à Engie de supprimer mon e-mail associée à son adresse. Aujourd’hui , ils ont supprimé l’adresse, mais ils n'arrivent pas à activer mon espace personnel.;2024-03-08 14:57:50+00:00;Négatif;False;"[""Suppression d'adresse e-mail"", ""Activation de l'espace personnel""]";['6 mois', 'supprimer', 'activer'];80;Service client;75;10;85
Diamant;La conseillère me demande de créer une nouvelle adresse e-mail, ce que je trouve ridicule. De plus, lorsque je demande mes heures creuses, on me dit qu'il n'y a qu'un créneau de 23h à 7h\nLa on me demande de patienter . Ça fait 1h que je patiente @ENGIEpartFR @FondationEngie https://t.co/iRzSyskmNH;2024-03-08 14:57:52+00:00;Négatif;True;"['Création nouvelle adresse e-mail', 'Heures creuses limitées', ""Temps d'attente prolongé""]";['ridicule', 'patienter', '1h'];80;Service client;70;0;90
Tsilavo;@ENGIEpartFR ça fait 4 fois que je vous appelle pour un pb de facture. À chaque fois on me dit ok et c'est tjrs pas fait. Faut connaître qui pour que le souci soit réglé ?????;2024-03-08 18:55:26+00:00;Négatif;True;['problème de facture', 'non-résolution du problème'];['4 fois', 'tjrs pas fait', 'souci'];80;Facturation;85;0;95
belleisa94;@ENGIEpartFR sur mon contrat, il est bien indiqué que de 07/23 à 07/24, le prix du kwh pour la fourniture ne doit pas évoluer, donc il devrait être à 0,12634 € ht, or, il ne cesse d'évoluer pour arriver aujourd’hui au prix de 0,1855€ht ! Je demande à être régularisée.;2024-03-10 12:41:54+00:00;Négatif;False;['Prix du kWh différent de celui indiqué dans le contrat'];['évoluer', 'régularisée'];80;Facturation;90;0;70
belleisa94;"@ENGIEpartFR j’ai souscrit un contrat en 07/23 indiquant que le prix de la conso fourniture en kwh doit être fixe à 0,12634€ HT pendant 1 an ; or, depuis le 01/09, ce tarif ne cesse d’augmenter !! J’ai écrit à vos conseillers qui font semblant de ne pas comprendre et mentent !";2024-03-10 18:24:30+00:00;Négatif;True;['Augmentation injustifiée du tarif', 'Mauvaise communication avec les conseillers'];;80;Facturation;85;0;90
moi, christiane f.;@ENGIEgroup @ENGIEpartFR sachez que je vais pas payer votre facture scandaleuse de 616€ que vous m’avez envoyé hein;2024-03-11 19:28:45+00:00;Négatif;True;['facture élevée', 'contestation de facture'];['scandaleuse', '616€'];100;Facturation;100;0;100
Eilahtan 🌸☀️🏝;Quand @ENGIEpartFR te facture une somme qui arrive de nulle part et qu’il cherche la petite bête pour ne pas annuler la somme. Depuis quand on demande un relevé de compte totale. Je sens que je vais en faire un tiktok avec mes 20k d’abonnés ça fera du bruit;2024-03-12 12:23:28+00:00;Négatif;True;['Facturation injustifiée', 'Demande excessive de relevé de compte'];['facture', 'somme', 'annuler', 'relevé de compte', 'bruit'];80;Facturation;85;0;90
NicolasMontalieu;Bonjour @ENGIEpartFR. Comment ça se passe quand on réserve la 1/2 journée à la maison car un technicien doit venir, mais que ce dernier passe une bonne partie de l'après-midi sur le parking à discuter avec son collègue et qui, finalement, n'est jamais venu ?;2024-03-12 16:17:45+00:00;Négatif;False;"[""Technicien n'est jamais venu"", 'Perte de temps']";"['réserve la 1/2 journée', ""n'est jamais venu""]";80;Service client;85;0;90
gaetan.exe;bjr @ENGIEpartFR pourquoi vous me surfacturez x3 ma conso électrique ??? je suis fonctionnaire par millionnaire;2024-03-13 14:44:13+00:00;Négatif;True;['surfacturation', 'consommation électrique'];['surfacturez', 'x3', 'millionnaire'];90;Facturation;80;0;100
H W;@ENGIEpartSAV @ENGIEpartFR\n Bonjour Julian, j’en suis à peu près au 5eme mail envoyé et au 18eme appel. Un rdv avait été enfin fixé, il vient d’être annulé. Je perds patience !!!;2024-03-13 15:48:35+00:00;Négatif;True;['multiples relances', 'annulation de rendez-vous'];['5eme mail', '18eme appel', 'annulé', 'perds patience'];80;Service client;85;0;95
Cy Ga (vr54110);@ENGIEpartFR Sinon votre application est censé refonctionner quand ?? Ça fait 1 mois et demi qu'elle est inaccessible !!!;2024-03-14 14:34:10+00:00;Négatif;True;['application ne fonctionne pas', 'application inaccessible'];['refonctionner', 'inaccessible'];80;Problème Technique;80;0;90
Pierre Fiol;dites @ENGIEpartFR, il y a des gens à vos couleurs (gilet, badge) qui font du porte à porte rentre-dedans en pressant les gens de remplir des documents pour soit disant installer 1 solution gratuite de pilotage du chauffage en partenariat avec le département de l'essonne (1/2);2024-03-14 16:50:24+00:00;Négatif;True;['démarchage agressif', 'manque de clarté sur le partenariat'];['rente-dedans', 'pressant', 'soit disant'];80;démarchage abusif;60;0;70
Triomphe de Neptune 🧞‍♀️;@ENGIEpartFR c’est normal que je comprend rien à ma consommation ?\nEntre abonnement et conso c’est quoi la différence ?;2024-03-15 11:53:40+00:00;Négatif;False;['compréhension de la facture', 'différence entre abonnement et consommation'];['comprend rien', 'différence'];50;Question;40;0;60
Mimoso;Tu sais quoi @ENGIEpartFR on va faire un truc. Offre moi la corde ça ira plus vite. Vive les anxiolytiques. Tu m'expliques comment j ai utilisé-33% d élec mais que j ai quasi 300€ de plus à payer ? Un jour je n'aurais plus la force, vraiment. https://t.co/pjVVXsbpUS;2024-03-15 15:48:15+00:00;Négatif;True;['Facturation incohérente', 'Augmentation injustifiée des coûts'];['anxiolytiques', 'force', '300€ de plus', '-33% d élec'];100;Facturation;100;0;100
snoop;@ENGIEpartFR ma voisine a reçu un appel téléphonique d'un homme du 0377182277 qui lui notifie son adresse et le fait qu'elle soit propriétaire mais lui répondant qu'elle n'est que locataire il lui raccroche au nez, c'est votre façon de faire ou bien ?;2024-03-18 11:38:28+00:00;Négatif;True;['Appel téléphonique impoli', 'Raccrocher au nez'];['raccroche au nez', 'locataire', 'propriétaire'];80;Service client;70;0;90
Vincent Beck;@ENGIEpartFR Ça ne vous dérange pas de me placer 43% d'augmentation sur le kWh en deux mois? Deux appels avec vos conseillers bien éduqués pour répondre de manière évasive. 😡😡\n#électricité\n#consommateur\n#énergie\n#engie\n#arnaque\n@UFCquechoisir https://t.co/CmfZ7dFUrM;2024-03-18 19:11:43+00:00;Négatif;True;['Augmentation de 43% sur le kWh en deux mois', 'Réponses évasives des conseillers'];"[""43% d'augmentation"", 'répondre de manière évasive', 'arnaque']";85;Facturation et Service client;80;0;95
loic;@ENGIEpartFR moins 13% de consommation et facture plus que doublé, du vol pour et simple !!! https://t.co/NHuZW63L94;2024-03-19 10:01:56+00:00;Négatif;True;['augmentation injustifiée de la facture', 'consommation réduite mais facture augmentée'];['moins 13% de consommation', 'facture plus que doublé', 'vol'];100;Facturation;100;0;100
Christophe Delattre;@ENGIEpartFR sont des voleurs et ils trafiquent les données. Je vous déconseille ce fournisseur.\nExemple mon suivi en octobre m'indique une économie de 90€ et hop engie passe par là plus rien😡🤬\nNous avons un système en temps réel maintenant et bizarrement rien n'ai cohérent!;2024-03-19 12:23:47+00:00;Négatif;False;['Traffic de données', 'vol', 'incohérence des données'];['voleurs', 'trafiquent', 'incohérent'];100;Accusation de fraude;100;0;100
Thomas 💀⚔️ Matador ⚔️💀;L’application @ENGIEpartFR est toujours à la ramasse. Quand est ce qu’on passe à la vitesse supérieure dites nous vite ? https://t.co/eYJ8DCLrA7;2024-03-19 15:13:27+00:00;Négatif;True;"[""problème d'application""]";['ramasse', 'vitesse supérieure'];80;Problème Technique;70;0;90
SaintJammes;@ENGIEpartFR dites , j'agis avec engie, vous voulez pass réparer ma clim, ça fait des mois que j'attends et que je rappelle sans résultat..... Bravo l'action...;2024-03-20 08:44:05+00:00;Négatif;True;['Attente prolongée pour réparation', 'Relances infructueuses'];['des mois', 'sans résultat'];80;Service client et réparation;85;0;90
Jean-Paul Hurtrez;@ENGIEpartFR a quand le retour de l'espace client sur votre site ?;2024-03-21 10:54:14+00:00;Négatif;False;"[""indisponibilité de l'espace client""]";['retour'];50;question;40;0;60
Boo;C’est moi ou le prix de l’électricité a augmenté en mars ? Je paie autant que lorsqu’on mon chauffage était allumé alors que je l’ai éteint il y a 4 jours ..? @ENGIEpartFR;2024-03-21 13:54:01+00:00;Négatif;False;"[""augmentation du prix de l'électricité"", ""consommation élevée malgré l'arrêt du chauffage""]";['augmenté', 'éteint'];60;Facturation;80;0;70
̷L̷'̷A̷n̷g̷e̷_ ̷i̷n̷d̷o̷m̷p̷t̷a̷b̷l̷e̷;@ENGIEpartFR @maison_travaux Comment se fait-il que🔥gazinière a une odeur jamais observée les années auparavant ? J'aimerai explication ?\nidem chauffage🔥qualité diluée et,compteur tourne pareil ? @60millions @UFCquechoisir\nLes jeunes de- de 30a ne peuvent savoir, avant EDF-GDF tenait sur la même facture...;2024-03-22 07:15:35+00:00;Négatif;True;['Odeur inhabituelle de la gazinière', 'Qualité du chauffage diluée', 'Compteur tourne pareil malgré qualité diluée'];['odeur jamais observée', 'qualité diluée', 'compteur tourne pareil'];80;Problème Technique et qualité de Service;60;0;70
- Pepito -;Bonjour.\nC'est vous @ENGIEpartFR ou @ENGIEpartSAV au bout de ce numéro ?? Ou est ce une arnaque qui tente de se faire passer pour vous ??\n\nMerci pour votre retour rapide. https://t.co/5gAD21WgMd;2024-03-22 14:43:26+00:00;Neutre;True;"[""Identité de l'appelant""]";['arnaque'];50;Demande d'information;20;0;30
- Pepito -;@ENGIEpartSAV Bonjour,\nCe n'était pas le sens de ma question.\n\nReconnaissez vous dans ce sms, vos methodes ? Votre numero de téléphone ? Dois je faire confiance a ce sms ??\n\nSur certains sites, le numéro de téléphone est associé a des arnaques / démarchage... D'ou ma question...;2024-03-23 11:26:06+00:00;Négatif;False;['SMS suspect', 'Numéro de téléphone associé à des arnaques'];['arnaques', 'démarchage'];80;Sécurité et confiance;60;0;70
mr wick 🐕 (pierre);Et bien sûr en ce moment, je n'ai d'aide de personne ya pas un chèque énergie @ENGIEpartFR , je me fait allumer tout les mois à payer 100 balles ,c'est plus possible c'est trop cher ...;2024-03-23 21:32:53+00:00;Négatif;True;['Factures élevées', 'Manque de soutien financier'];['aide', 'chèque énergie', 'allumer', 'trop cher'];80;Facturation;80;0;90
mr wick 🐕 (pierre);Comment payé sa la , alors que mon frigo est vide @ENGIEpartFR ? Le prix augmente tout le temps, moi je n'y arrive pas https://t.co/PegqPAGgMc;2024-03-25 08:27:04+00:00;Négatif;True;['Augmentation des prix', 'Difficultés financières'];"['frigo est vide', 'prix augmente', ""n'y arrive pas""]";90;Prix et difficultés financières;80;0;95
So2;@ENGIEpartFR qui vous communique des plages horaires d'heures creuses lors de la souscription du contrat élec et quelques mois plus tard se rendre compte qu'elles ne sont pas prises en compte. Réécoutez l'appel et vous verrez bien que vous êtes des escrocs !;2024-03-25 12:17:29+00:00;Négatif;True;"['plages horaires non respectées', 'manque de communication', ""accusation d'escroquerie""]";['escrocs', 'plages horaires', 'prises en compte'];80;Service client et facturation;85;0;95
Léa Mathis;@ENGIEgroup pire fournisseur d’électricité !  4 mois de démarches et ils annulent un contrat alors que je demande juste une mensualisation. \nJe me retrouve sans contrat depuis 2 mois et sans justificatif de domicile ni rien… \n« On vous recontacte dans deux semaines »;2024-03-25 12:46:08+00:00;Négatif;True;['annulation de contrat', 'absence de justificatif de domicile', 'délai de réponse'];['pire fournisseur', 'annulent un contrat', 'sans contrat', 'sans justificatif de domicile'];90;Service client;90;0;95
Lita🌺;@ENGIEpartFR @la_csf Vous n'en avez pas marre de mettre le couteau sous la gorge de vos clients ? Sans parler du Service client qui essaie soit de nous faire culpabiliser ou nous arnaquer. On a jamais eu droit au bouclier énergie, vous êtes une source d'anxiété immense dans mon foyer. JE ME TIRE. https://t.co/TDEl0GFiAN;2024-03-26 14:05:50+00:00;Négatif;True;['Mauvaise gestion client', 'Service client inefficace', 'Absence de bouclier énergie', 'Anxiété causée par les services'];['couteau sous la gorge', 'culpabiliser', 'arnaquer', 'anxiété', 'je me tire'];100;Service client et gestion;100;0;100
Lita🌺;@ENGIEpartFR @la_csf awi, et vous ne vous gênez pas pour nous enterrer un peu + en me balançant un mail pour m'annoncer que vous ajoutez 213 euros à nos mensualités bah en fait c'est non bye 🧳👋;2024-03-26 14:10:27+00:00;Négatif;False;['Augmentation des mensualités'];['enterrer', '213 euros', 'non', 'bye'];80;Facturation;85;0;95
Charlotte Tolonen;"In a stalemate since 12 dec with @ENGIEpartFR and @GRDF - ""smart"" gas meter is miscalibrated &amp; they require ME to fix it? 12+ hours in customer Service calls and we are still not fixed. Keep saying they will ""fait le necessaire"" but then cancel each other's Service calls - HELP!";2024-03-27 07:18:17+00:00;Négatif;True;['Compteur de gaz mal calibré', 'Service client inefficace', 'Appels de Service annulés'];;90;Service client et Technique;80;0;100
WD And Co;@ENGIEpartFR Êtes vous sûr de vos données ?\nSi je reçois une facture plus élevée, il me faudra des explications. https://t.co/o0OkeQcm96;2024-03-27 08:18:55+00:00;Négatif;False;['doute sur les données', 'facture élevée'];['sûr', 'facture plus élevée', 'explications'];50;Question/Demande d'explication;50;10;40
Thérésa 🏳️‍⚧️🐿️;@ENGIEpartFR J'ai regardé en détail et c'est la facture d'instalation. Mais ça fait peur 😭 Ça va pas de dire qu'il y a eu un échange alors que non ?;2024-03-27 15:17:34+00:00;Négatif;False;"[""Facture d'installation"", ""Information erronée sur l'échange""]";['peur', 'échange'];80;Facturation;60;0;70
Théo Alrd;@ENGIEpartFR @GRDF \n\nALERTE NE PAS CHOISIR CETTE ENTREPRISE POUR LE CHANGEMENT DE GAZ OBLIGATOIRE !\nNous sommes privés d’eau chaude et de chauffage depuis ce vendredi 23/03 à 16h , il fait 16° chez moi.\nGRDF mandate cette entreprise pour effectuer les réglages nécessaire https://t.co/2t0OgFnZA4;2024-03-27 16:23:38+00:00;Négatif;True;['privés d’eau chaude', 'privés de chauffage', 'température basse'];['ALERTE', 'privés', '16°'];100;Service client;100;0;100
Brutus;@ENGIEpartFR qui coupe mon contrat d’électricité et de gaz 2 semaine trop tôt! Quelle honte !!! Je le retrouve avec un bb sans gaz et sans électricité ! Mon frigo plein qui va finir à la poubelle! Je fonce déposer une plainte immédiate;2024-03-28 07:05:45+00:00;Négatif;True;"['coupe de contrat trop tôt', ""absence de gaz et d'électricité"", 'perte de nourriture']";['coupe', 'honte', 'plainte'];100;Service client et gestion de contrat;100;0;100
val;@ENGIEpartFR bonjour, je souhaiterai voir pour basculer l’électricité chez vous, vous pouvez vous me donner une estimation mensuelle svp?;2024-03-30 16:11:17+00:00;Neutre;False;[];[];0;Demande d'information;0;50;0
HyunSaeng;Bon @ENGIEpartFR vous m'avez augmenté à 75€ de facture sur quelle base d'estimation ? Le mois de janvier était celui où j'ai le plus consommé (60€ abonnement compris)... Donc faut expliquer où comment vous faites vos estimations, je serais heureuse de le savoir... https://t.co/q4xqgq95Fd;2024-04-01 20:03:00+00:00;Négatif;True;['augmentation de facture', 'estimation inexpliquée'];['augmenté', 'estimation', 'expliquer'];80;Facturation;60;0;70
H W;@ENGIEpartSAV en revanche je peux planifier un rdv pour le 17 avril si je crée un nouveau contrat ! Une honte !!!!;2024-04-02 11:36:57+00:00;Négatif;True;['Impossibilité de planifier un RDV sans nouveau contrat'];['honte', 'nouveau contrat'];80;Service client;85;0;95
Synea41;C'est beau @ENGIEpartFR de faire appel aux étrangers pour gérer les appels. Mais on fait quoi quand ils sont incapables de comprendre la demande et nous renvoient même pas vers quelqu'un qui comprend mieux et raccrochent ? 😡;2024-04-02 15:20:26+00:00;Négatif;True;['compréhension de la demande', 'renvoi vers un interlocuteur compétent', 'raccrochage intempestif'];['incapables', 'comprendre', 'raccrochent'];80;Service client;70;0;90
incarnare;Le daron a souscrit un contrat d'entretien PAC chez @ENGIEpartSAV. Dans ce thread je vous partage ses galères..\n🧵;2024-04-02 17:07:38+00:00;Négatif;True;"[""Galères avec le contrat d'entretien PAC""]";['galères'];80;Problème de Service;85;0;90
incarnare;Du coup, deux jours après la visite de routine du technicien, le daron est à l'eau froide et gère la régulation thermique de sa maison au disjoncteur. Merci @ENGIEpartSAV;2024-04-02 17:07:41+00:00;Négatif;True;"[""absence d'eau chaude"", 'problème de régulation thermique']";['eau froide', 'disjoncteur'];100;Problème Technique;100;0;100
Charlotte Tolonen;"@geoffjentry @ENGIEpartSAV Still no power, my 6 year old has now fallen sick, and today @ENGIEpartSAV tells me no, @GRDF says no problem with my ""smart"" meter so they won't do anything for me until I pay 3000 euro more. They will not confirm the meter - seems their system will not let them see my photos.";2024-04-03 10:37:05+00:00;Négatif;True;['Panne de courant', 'Enfant malade', 'Problème de compteur intelligent', 'Facture élevée', 'Problème de confirmation de compteur', 'Problème de système de photos'];['no power', 'fallen sick', 'pay 3000 euro more', 'will not confirm', 'will not let them see my photos'];90;Service client et Technique;100;0;100
Nathan Mechet;@ENGIEpartFR \nVous trouvez ça normal d’avoir 2000€ de régularisation de octobre 2023 à mars 2024 en ayant 60m2 et ne chauffant que le strict minimum. Des voleurs pareil JAMAIS VU !!! Personnel au téléphone incompétente, on mange des cailloux le mois prochain ??;2024-04-03 14:13:34+00:00;Négatif;True;['Facture élevée', 'Service client incompétent'];['2000€ de régularisation', 'voleurs', 'incompétente'];100;Facturation;100;0;100
Caroline;@ENGIEpartFR 17h40 j'attends depuis 13h le gars qui dois venir faire l'entretien de la chaudière....;2024-04-03 15:43:04+00:00;Négatif;True;['Retard de technicien', 'Attente prolongée'];['attends depuis 13h', 'dois venir'];80;Service client;70;0;90
Co Mood;@ENGIEpartFR vous êtes vous fait pirater vos données ou bien vendez vous nos Datas ? \nJe reçois plein de sms de numéros non commerciaux et la façon dont ils m’interpellent ( noms accolés de la colloc ) il n’y a que chez vous que je suis enregistrée ainsi. C’est juste intolérable;2024-04-03 16:28:21+00:00;Négatif;True;['Piratage de données', 'Vente de données personnelles', 'Réception de SMS non commerciaux'];['pirater', 'vendez', 'intolérable'];90;Sécurité des données;80;0;100
MrOrkyd;Bravo  @ENGIEpartFR,  vous êtes tellement des escrocs.  . Entre juin 2023 et aujourd'hui, je vous ai appelé 17 fois. 17 fois on m'a promis de me rapeller pour régler ma situation. Ça n'est jms arrivé. Aucun respect pour vos clients.   #engie #escroquerie #mensonge;2024-04-03 17:57:36+00:00;Négatif;True;['Manque de rappel', 'Manque de respect pour les clients', 'Promesses non tenues'];['escrocs', '17 fois', 'aucun respect', 'jms arrivé'];90;Service client;100;0;100
Shiro;@ENGIEpartFR donc envie définitivement classer dans la catégorie voleur? Une telle facture pour ma mère en invalidité , donc même pas sûr de pouvoir la payer. Pour un kilowattheure à 0,40!!!\nJamais avertis via le site ( site qui parle de 0,21) merci au Service client pareil! https://t.co/Wq4blhHvdC;2024-04-04 05:30:52+00:00;Négatif;True;"['Facture élevée', ""Manque d'information"", 'Service client inefficace']";['voleur', 'facture', 'invalidité', 'kilowattheure', 'avertis', 'Service client'];90;Facturation et Service client;100;0;100
Portalet;@ENGIEpartFR A fuir bande d’incompétents. J'étais mensualisé et Engie a arrêté sans raison la mensualisation à la fin j' ai eu une grosse facture à payer. pour compenser Engie m' a promis un geste commercial baisse de 25,00€ que je n' ai jamais reçu;2024-04-04 09:18:26+00:00;Négatif;False;['Arrêt de la mensualisation sans raison', 'Facture élevée', 'Promesse de geste commercial non tenue'];['fuir', 'incompétents', 'arrêté sans raison', 'grosse facture', 'jamais reçu'];80;Service client et facturation;100;0;90
christophe jacrot;@cathmacgregor @ENGIEChile @ENGIEgroup SANS UN APPEL d'UN RESPONSABLE, je CONSIDERE ENGIE COMME UNE BOITE MAFIEUSE !! j'insiste MAFIEUSE !! je répète MAFIEUSE (déjà condamnée ...);2024-04-05 08:11:41+00:00;Très négatif;True;['Manque de communication', 'Mécontentement général'];['SANS UN APPEL', 'MAFIEUSE'];100;Service client;100;0;100
Coralie Bouillot;Facture exorbitante d'électricité de ma fille étudiante. J'appelle @ENGIEpartFR pour essayer de comprendre. Zéro détail, zéro explication à part un cours théorique sur le KwH. Je demande un détail conso, on me dit que ça coûte 2€ par mois...;2024-04-06 08:46:03+00:00;Négatif;True;"['Facture exorbitante', ""Manque de détails et d'explications"", 'Coût supplémentaire pour obtenir des détails de consommation']";['exorbitante', 'zéro détail', 'zéro explication', 'coûte 2€ par mois'];80;Facturation et Service client;85;0;90
Sylaann;Bonjour @ENGIEpartFR pouvez vous m'expliquer s'il vous plait à quoi correspondent les gros pics de consommation d'electricité que j'ai en journée vers 18h00 et 21h00?\nJ'ai juste un frigo qui consomme en continue et un ordinateur qui fait de meme (sauf la nuit) https://t.co/nzj3WTwox5;2024-04-07 18:27:38+00:00;Neutre;False;"[""pics de consommation d'électricité inexpliqués""]";['pics de consommation'];30;Demande d'information;10;40;20
Épileptique-Gamer;C'est qui ce +33662563637 qui prétend être mon fournisseur d'énergie mais ignore où j'habite ? Et qui en plus me parle d'aide aux panneaux photovoltaïques alors que @ENGIEpartFR sait que j'habite en HLM ? Bref, N° bloqué mais #Bloctel pourrait m'éviter d'avoir a le faire 😡;2024-04-08 10:24:52+00:00;Négatif;False;['Appel non sollicité', 'Incohérence des informations', 'Harcèlement téléphonique'];['ignore', 'bloqué', 'éviter'];80;Harcèlement téléphonique;70;0;90
Vinz Robert;Le prix au kWh a été multiplié par 2 (et même par un peu plus que 2 pour les heures creuses). @ENGIEpartFR vous êtes des voleurs, mais comme nous avons également un gouvernement de voleurs, c'est logique qu'il vous laisse faire.;2024-04-08 14:47:55+00:00;Négatif;False;"['Augmentation du prix du kWh', ""Manque de confiance en l'entreprise et le gouvernement""]";['voleurs', 'multiplié par 2', 'gouvernement de voleurs'];90;Prix et tarification;100;0;100
Arnaud Papin;@ENGIEpartFR \n\nBonjour , le 01/02/2024 ,nous avons eu la désagréable surprise de voir le prix du kwh d électricité de mon contrat passer de 0,20e ttc à 0,37euros soit presque 100% d augmentation et cela sans nous alerter ni par téléphone et par mail).;2024-04-08 15:39:46+00:00;Négatif;True;['Augmentation de prix', 'Manque de communication'];['désagréable surprise', 'augmentation', 'sans nous alerter'];90;Prix et communication;100;0;90
Medved;Salut @ENGIEpartFR , j’entame mon 12eme jour sans électricité, j’suis Jiri Prochazka moi ?;2024-04-09 10:17:25+00:00;Négatif;True;"[""absence d'électricité""]";['12eme jour sans électricité'];100;Service;100;0;100
Olivier;@ENGIEpartFR @ENGIEgroup , est ce normal de poireauter 2 x 25 minutes sur le 0969321953 (3 minutes annoncées) tout ça pour modifier un nom sur un contrat. Ah oui nous avons été sur notre espace personne. Service clients aux abonnés absents.;2024-04-09 16:51:09+00:00;Négatif;False;['attente téléphonique prolongée', 'modification de nom sur contrat', 'Service client inefficace'];['poireauter', '2 x 25 minutes', 'Service clients aux abonnés absents'];80;Service client;80;0;90
Daron ₿ ⚡🇨🇵;"@ENGIEpartFR merci de dire à vos démarcheurs sur Le Mans d'arrêter de se faire passer pour des agents d'entretien du réseau électrique.\nJe ne suis pas chez vous pour l'électricité et je ne compte à souscrire à vos pseudos ""offres bouclier tarifaire"".\nLa malhonnêteté est dingue.";2024-04-10 12:43:53+00:00;Négatif;False;['comportement des démarcheurs', 'malhonnêteté'];['démarcheurs', 'malhonnêteté', 'pseudos'];80;Comportement des employés;85;0;90
alain🔺🔺🔺👁🌍✨;Merci ⁦@ENGIEpartFR⁩ sa devient du luxe.faire à mangé,laver eau https://t.co/0yoEk9Ukpm prépare les bougies 🕯️🕯️🕯️🥵 https://t.co/pLzK9uyk8w;2024-04-11 15:25:01+00:00;Négatif;True;"['coupure de Service', ""manque d'électricité""]";['luxe', 'bougies', '🥵'];100;coupure de Service;100;0;100
